Movie_Name,Contributors,Budget,Revenue
Cosmopolis,"['David Cronenberg', 'Robert Pattinson', 'Paul Giamatti', 'Samantha Morton', 'Sarah Gadon', 'Mathieu Amalric', 'Juliette Binoche', 'Jay Baruchel', 'Kevin Durand']",20.5,6063556
Skyfall,"['Sam Mendes', 'Daniel Craig', 'Javier Bardem', 'Ralph Fiennes', 'Naomie Harris', 'Brnice Marlohe', 'Albert Finney', 'Judi Dench']",150200,1.1086 billion
Red Dawn,"['Dan Bradley', 'Chris Hemsworth', 'Josh Peck', 'Josh Hutcherson', 'Adrianne Palicki', 'Isabel Lucas', 'Connor Cruise', 'Jeffrey Dean Morgan']",65,48169726
Detropia,"['Heidi Ewing', 'Rachel Grady']",0,0
American Reunion,"['Jon Hurwitz', 'Hayden Schlossberg', 'Jason Biggs', 'Alyson Hannigan', 'Chris Klein', 'Thomas Ian Nicholas', 'Tara Reid', 'Seann William Scott', 'Mena Suvari', 'Eddie Kaye Thomas', 'Dania Ramirez', 'Eugene Levy']",50,234989584
People Like Us,"['Alex Kurtzman', 'Chris Pine', 'Elizabeth Banks', 'Olivia Wilde', 'Michelle Pfeiffer']",16,12.4
Lincoln,"['Steven Spielberg', 'Daniel Day-Lewis', 'Sally Field', 'David Strathairn', 'Joseph Gordon-Levitt', 'James Spader', 'Hal Holbrook', 'Tommy Lee Jones']",65,275.3
Bachelorette,"['Leslye Headland', 'Kirsten Dunst', 'Isla Fisher', 'Lizzy Caplan', 'James Marsden', 'Kyle Bornheimer', 'Rebel Wilson', 'Adam Scott']",3,11947954
Sinister,"['Scott Derrickson', 'C. Robert Cargill', 'Ethan Hawke', 'Juliet Rylance', 'Fred Thompson', 'James Ransone', 'Clare Foley']",3,87727807
Think Like a Man,"['Tim Story', 'Michael Ealy', 'Jerry Ferrara', 'Meagan Good', 'Regina Hall', 'Kevin Hart', 'Terrence J', 'Taraji P. Henson', 'Romany Malco', 'Gabrielle Union']",12,96070507
Payback,"['Jennifer Baichwal', 'Jennifer Baichwal', 'Margaret Atwood', 'Payback: Debt and the Shadow Side of Wealth']",0,0
Ek Tha Tiger,"['Kabir Khan', 'Salman Khan', 'Katrina Kaif', 'Ranvir Shorey', 'Girish Karnad']",12),50)
The Hobbit: An Unexpected Journey,"['Peter Jackson', 'Ian McKellen', 'Martin Freeman', 'Richard Armitage', 'James Nesbitt', 'Ken Stott', 'Cate Blanchett', 'Ian Holm', 'Christopher Lee', 'Hugo Weaving', 'Elijah Wood', 'Andy Serkis']",267.5,1.017 billion
Big Miracle,"['Ken Kwapis', 'Drew Barrymore', 'John Krasinski']",30,24719215
Cirque du Soleil: Worlds Away,"['Andrew Adamson', 'Erica Linz', 'Benedikt Negro']",25,34153101
Much Ado About Nothing,"['Joss Whedon', 'Amy Acker', 'Alexis Denisof', 'Reed Diamond', 'Nathan Fillion', 'Clark Gregg', 'Fran Kranz', 'Sean Maher', 'Jillian Morgese']",0,5300644
It's a Disaster,"['Todd Berger', 'Rachel Boston', 'David Cross', 'America Ferrera', 'Erinn Hayes', 'Julia Stiles']",0,60818
Deadfall,"['Stefan Ruzowitzky', 'Eric Bana', 'Olivia Wilde', 'Charlie Hunnam', 'Kate Mara', 'Treat Williams', 'Kris Kristofferson', 'Sissy Spacek']",0,1946254
Tiger Eyes,[],0,0
Resident Evil: Retribution,"['Paul W. S. Anderson', 'Milla Jovovich', 'Michelle Rodriguez', 'Kevin Durand', 'Sienna Guillory', 'Shawn Roberts', 'Aryana Engineer', 'Oded Fehr', 'Colin Salmon', 'Johann Urb', 'Boris Kodjoe', 'Li Bingbing']",65,240159255
Silent Hill: Revelation,"['Michael J. Bassett', 'Adelaide Clemens', 'Kit Harington', 'Deborah Kara Unger', 'Martin Donovan', 'Malcolm McDowell', 'Carrie-Anne Moss', 'Sean Bean']",20,52.3
The Lords of Salem,"['Rob Zombie', 'Sheri Moon Zombie', 'Bruce Davison', 'Jeff Daniel Phillips', 'Ken Foree', 'Patricia Quinn', 'Dee Wallace', 'Mara Conchita Alonso', 'Judy Geeson', 'Meg Foster']",1.5,1165882
Ted,[],0,0
The Campaign,[],0,0
Lola Versus,"['Daryl Wein', 'Zoe Lister Jones', 'Greta Gerwig', 'Joel Kinnaman', 'Bill Pullman', 'Debra Winger']",0,252603
Journey 2: The Mysterious Island,"['Brad Peyton', 'Dwayne Johnson', 'Michael Caine', 'Josh Hutcherson', 'Vanessa Hudgens', 'Luis Guzmn']",79,355692760(including sales of DVD)
Looper,"['Rian Johnson', 'Bruce Willis', 'Joseph Gordon-Levitt', 'Emily Blunt', 'Paul Dano', 'Noah Segan', 'Piper Perabo', 'Jeff Daniels']",30,176.5
Promised Land,"['Gus Van Sant', 'Matt Damon', 'John Krasinski', 'Frances McDormand']",15,8138788
Iron Sky,"['Timo Vuorensola', 'Julia Dietze', 'Gtz Otto', 'Peta Sergeant', 'Stephanie Paul', 'Udo Kier']",10 ),8135031
Tim and Eric's Billion Dollar Movie,"['Tim Heidecker', 'Eric Wareheim', 'Zach Galifianakis']",3,201436
Zero Dark Thirty,"['Kathryn Bigelow', 'Jessica Chastain', 'Jason Clarke', 'Joel Edgerton']",40,138.8
Back to 1942,"['Feng Xiaogang', 'Liu Zhenyun', 'Zhang Guoli', 'Chen Daoming', 'Li Xuejian', 'Zhang Hanyu', 'Fan Wei', 'Xu Fan', 'Tim Robbins', 'Adrien Brody']",Budget210,Box office364
7 Boxes,[],0,0
The Impossible,"['J. A. Bayona', 'Sergio G. Snchez', 'Naomi Watts', 'Ewan McGregor']",45,180274123
Beasts of the Southern Wild,"['Benh Zeitlin', 'Quvenzhan Wallis', 'Dwight Henry']",1.8,21911774
End of Watch,"['David Ayer', 'Jake Gyllenhaal', 'Michael Pea', 'Anna Kendrick', 'Natalie Martinez', 'America Ferrera', 'Frank Grillo', 'David Harbour']",7.5,53
The Brass Teapot,"['Ramaa Mosley', 'Juno Temple', 'Michael Angarano', 'Alexis Bledel', 'Alia Shawkat', 'Bobby Moynihan']",0,6997
LOL,"['Lisa Azuelos', 'Miley Cyrus', 'Demi Moore', 'Douglas Booth', 'Ashley Greene']",11,18279948
Mirror Mirror,[],0,0
The Five-Year Engagement,"['Nicholas Stoller', 'Jason Segel', 'Jason Segel', 'Emily Blunt', 'Chris Pratt', 'Alison Brie', 'Jacki Weaver', 'Rhys Ifans', 'Chris Parnell']",30,53909751
Sparkle,"['Mara Brock Akil', 'Jordin Sparks', 'Whitney Houston', 'Derek Luke', 'Mike Epps', 'Tamela Mann', 'Carmen Ejogo', 'Tika Sumpter', 'Omari Hardwick', 'Cee Lo Green']",14,24637469
Joyful Noise,"['Todd Graff', 'Queen Latifah', 'Dolly Parton', 'Keke Palmer', 'Jeremy Jordan']",25,31157914 (Worldwide)
Madagascar 3: Europe's Most Wanted,"['Eric Darnell', 'Conrad Vernon', '[1]', 'Tom McGrath', '[2]', 'Ben Stiller', 'Chris Rock', 'David Schwimmer', 'Jada Pinkett Smith', 'Sacha Baron Cohen', 'Cedric the Entertainer', 'Andy Richter', 'Jessica Chastain', 'Bryan Cranston', 'Martin Short', 'Frances McDormand']",145,746921274
